time	pH		Temp/°C		Cond/µS	
680		5.573		21.6		-5000	
681		5.572		21.6		-5036	
682		5.572		21.6		-5012	
683		5.572		21.6		-5012	
684		5.571		21.6		-5012	
685		5.571		21.6		-5012	
686		5.571		21.6		-5000	
687		5.57		21.6		-5000	
688		5.57		21.6		-5012	
689		5.57		21.6		-5000	
690		5.57		21.6		-5000	
691		5.57		21.6		-5000	
692		5.569		21.6		-5024	
693		5.569		21.6		-5024	
694		5.569		21.5		-5000	
695		5.569		21.6		-5012	
696		5.569		21.6		-5012	
697		5.568		21.6		-5012	
698		5.568		21.5		-5012	
699		5.568		21.6		-5012	
700		5.568		21.6		-4987	
701		5.567		21.6		-5012	
702		5.567		21.6		-4987	
703		5.567		21.5		-5000	
704		5.567		21.5		-5012	
705		5.567		21.6		-5012	
706		5.566		21.6		-5012	
707		5.566		21.5		-5000	
708		5.566		21.6		-5012	
709		5.566		21.6		-5000	
710		5.566		21.5		-5024	
711		5.566		21.5		-5000	
712		5.565		21.6		-5012	
713		5.565		21.6		-5012	
714		5.565		21.6		-4987	
715		5.565		21.6		-5000	
716		5.565		21.5		-4987	
717		5.565		21.6		-4987	
718		5.564		21.6		-5000	
719		5.564		21.6		-5012	
720		5.564		21.6		-5012	
721		5.564		21.6		-4987	
722		5.564		21.6		-5012	
723		5.564		21.6		-5012	
724		5.564		21.5		-5012	
725		5.564		21.6		-5000	
726		5.564		21.6		-5000	
727		5.563		21.5		-5012	
728		5.563		21.5		-5000	
729		5.563		21.6		-5000	
730		5.563		21.6		-5000	
731		5.563		21.6		-4987	
732		5.563		21.6		-5012	
733		5.563		21.5		-4987	
734		5.563		21.6		-5000	
735		5.563		21.5		-5000	
736		5.563		21.6		-5000	
737		5.562		21.6		-4987	
738		5.562		21.6		-4987	
739		5.562		21.6		-5000	
740		5.562		21.6		-5024	
741		5.563		21.6		-5000	
742		5.563		21.6		-5012	
743		5.563		21.6		-5024	
744		5.563		21.6		-5024	
745		5.563		21.6		-5012	
746		5.563		21.6		-5036	
747		5.563		21.6		-5024	
748		5.562		21.6		-5012	
749		5.562		21.6		-5024	
750		5.562		21.6		-5000	
751		5.562		21.6		-5000	
752		5.562		21.6		-5012	
753		5.562		21.6		-5000	
754		5.562		21.6		-5012	
755		5.562		21.6		-5012	
756		5.562		21.6		-5012	
757		5.562		21.6		-5000	
758		5.562		21.7		-5024	
759		5.562		21.6		-5024	
760		5.562		21.7		-5000	
761		5.562		21.6		-4987	
762		5.562		21.6		-5012	
763		5.562		21.7		-5012	
764		5.562		21.6		-5012	
765		5.562		21.6		-5012	
766		5.562		21.6		-5012	
767		5.562		21.6		-5012	
768		5.562		21.6		-5012	
769		5.562		21.6		-5000	
770		5.562		21.6		-5012	
771		5.562		21.6		-5012	
772		5.562		21.7		-5000	
773		5.562		21.6		-5024	
774		5.562		21.7		-5000	
775		5.562		21.6		-5000	
776		5.563		21.7		-4987	
777		5.563		21.6		-5000	
778		5.563		21.7		-5012	
