Ns changes	time/s	I/mA	Capacity/mA.h
0	574.7616	0.751152039	0.334927808
0	575.7616	0.750770032	0.335137103
0	576.7616	0.748478055	0.335345752
0	577.7616	0.748860061	0.335553809
0	578.7616	0.742366016	0.335761205
0	579.7616	0.738546073	0.335968005
0	580.7616	0.744276047	0.336174206
0	581.7616	0.739310086	0.336379869
0	582.7616	0.743130028	0.336584955
0	583.7616	0.734344006	0.336789444
0	584.7616	0.737400055	0.336993335
0	585.7616	0.726322055	0.337196643
0	586.7616	0.733580053	0.337399259
0	587.7616	0.725558043	0.337601325
0	588.7616	0.726322055	0.337802839
0	589.7616	0.725558043	0.338003794
0	590.7616	0.720210016	0.338204251
0	591.7616	0.717918038	0.338404151
0	592.7616	0.718300045	0.338603478
0	593.7616	0.720592022	0.338802336
0	594.7616	0.717536092	0.33900068
0	595.7616	0.717154026	0.339198537
0	596.7616	0.711806059	0.339395824
0	597.7616	0.707985997	0.339592579
0	598.7616	0.709132075	0.339788858
0	599.7616	0.70263803	0.339984556
0	600.7616	0.698436022	0.340179654
0	601.7616	0.695380032	0.340374259
0	602.7616	0.696144044	0.340568334
0	603.7616	0.70569402	0.340761841
0	604.7616	0.694234073	0.340954845
0	605.7616	0.690796018	0.341147365
0	606.7616	0.691178024	0.341339349
0	607.7616	0.684302032	0.341530866
0	608.7616	0.689650059	0.341721838
0	609.7616	0.68544805	0.341912239
0	610.7616	0.683920026	0.342102128
0	611.7616	0.676280022	0.342291525
0	612.7616	0.679718077	0.34248039
0	613.7616	0.672078013	0.342668716
0	614.7616	0.674369991	0.342856512
0	615.7616	0.676662028	0.343043769
0	616.7616	0.669022024	0.343230533
0	617.7616	0.66634804	0.343416828
0	618.7616	0.665584028	0.34360251
0	619.7616	0.665966034	0.343787704
0	620.7616	0.65832603	0.343972378
0	621.7616	0.661000013	0.344156564
0	622.7616	0.657562017	0.344340323
0	623.7616	0.66138202	0.344523506
0	624.7616	0.651832044	0.344706075
0	625.7616	0.653360009	0.344888077
0	626.7616	0.651450038	0.345069557
0	627.7616	0.65832603	0.345250583
0	628.7616	0.646102011	0.345431213
0	629.7616	0.64419198	0.345611411
0	630.7616	0.646484017	0.345791099
0	631.7616	0.644574046	0.345970291
0	632.7616	0.638462007	0.346148937
0	633.7616	0.645337999	0.346327096
